Year,by types of economic activity,by the organisational and legal forms,Region,Number of employees,Value
2016,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,,
2017,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,,
2018,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,,
2019,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,,
2020,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,,
2021,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,,10.0
2022,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,,11.8
2023,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,,13.9
2024,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,,6.1
2015,manufacture of fluid power equipment,,,,
2016,manufacture of fluid power equipment,,,,
2017,manufacture of fluid power equipment,,,,
2018,manufacture of fluid power equipment,,,,
2019,manufacture of fluid power equipment,,,,
2020,manufacture of fluid power equipment,,,,
2021,manufacture of fluid power equipment,,,,10.7
2022,manufacture of fluid power equipment,,,,12.7
2023,manufacture of fluid power equipment,,,,13.7
2024,manufacture of fluid power equipment,,,,18.0
2015,manufacture of other pumps and compressors,,,,
2016,manufacture of other pumps and compressors,,,,
2017,manufacture of other pumps and compressors,,,,
2018,manufacture of other pumps and compressors,,,,
2019,manufacture of other pumps and compressors,,,,
2020,manufacture of other pumps and compressors,,,,
2021,manufacture of other pumps and compressors,,,,11.9
2022,manufacture of other pumps and compressors,,,,10.6
2023,manufacture of other pumps and compressors,,,,4.9
2024,manufacture of other pumps and compressors,,,,10.5
2015,manufacture of other taps and valves,,,,
2016,manufacture of other taps and valves,,,,
2017,manufacture of other taps and valves,,,,
2018,manufacture of other taps and valves,,,,
2019,manufacture of other taps and valves,,,,
2020,manufacture of other taps and valves,,,,
2021,manufacture of other taps and valves,,,,22.6
2022,manufacture of other taps and valves,,,,18.6
2023,manufacture of other taps and valves,,,,23.7
2024,manufacture of other taps and valves,,,,26.8
2015,"manufacture of bearings, gears, gearing and driving elements",,,,
2016,"manufacture of bearings, gears, gearing and driving elements",,,,
2017,"manufacture of bearings, gears, gearing and driving elements",,,,
2018,"manufacture of bearings, gears, gearing and driving elements",,,,
2019,"manufacture of bearings, gears, gearing and driving elements",,,,
2020,"manufacture of bearings, gears, gearing and driving elements",,,,
2021,"manufacture of bearings, gears, gearing and driving elements",,,,12.8
2022,"manufacture of bearings, gears, gearing and driving elements",,,,14.1
2023,"manufacture of bearings, gears, gearing and driving elements",,,,14.3
2024,"manufacture of bearings, gears, gearing and driving elements",,,,22.4
2015,"manufacture of ovens, furnaces and furnace burners",,,,
2016,"manufacture of ovens, furnaces and furnace burners",,,,
2017,"manufacture of ovens, furnaces and furnace burners",,,,
2018,"manufacture of ovens, furnaces and furnace burners",,,,
2019,"manufacture of ovens, furnaces and furnace burners",,,,
2020,"manufacture of ovens, furnaces and furnace burners",,,,
2021,"manufacture of ovens, furnaces and furnace burners",,,,27.0
2022,"manufacture of ovens, furnaces and furnace burners",,,,25.4
2023,"manufacture of ovens, furnaces and furnace burners",,,,22.1
2024,"manufacture of ovens, furnaces and furnace burners",,,,21.4
2015,manufacture of lifting and handling equipment,,,,
2016,manufacture of lifting and handling equipment,,,,
2017,manufacture of lifting and handling equipment,,,,
2018,manufacture of lifting and handling equipment,,,,
2019,manufacture of lifting and handling equipment,,,,
2020,manufacture of lifting and handling equipment,,,,
2021,manufacture of lifting and handling equipment,,,,9.0
2022,manufacture of lifting and handling equipment,,,,9.5
2023,manufacture of lifting and handling equipment,,,,8.7
2024,manufacture of lifting and handling equipment,,,,8.7
2015,manufacture of office machinery and equipment (except computers and peripheral equipment),,,,
2016,manufacture of office machinery and equipment (except computers and peripheral equipment),,,,
2017,manufacture of office machinery and equipment (except computers and peripheral equipment),,,,
2018,manufacture of office machinery and equipment (except computers and peripheral equipment),,,,
2019,manufacture of office machinery and equipment (except computers and peripheral equipment),,,,
2020,manufacture of office machinery and equipment (except computers and peripheral equipment),,,,
2021,manufacture of office machinery and equipment (except computers and peripheral equipment),,,,6.7
2022,manufacture of office machinery and equipment (except computers and peripheral equipment),,,,
2023,manufacture of office machinery and equipment (except computers and peripheral equipment),,,,
2024,manufacture of office machinery and equipment (except computers and peripheral equipment),,,,
2015,manufacture of power-driven hand tools,,,,
2016,manufacture of power-driven hand tools,,,,
2017,manufacture of power-driven hand tools,,,,
2018,manufacture of power-driven hand tools,,,,
2019,manufacture of power-driven hand tools,,,,
2020,manufacture of power-driven hand tools,,,,
2021,manufacture of power-driven hand tools,,,,
2022,manufacture of power-driven hand tools,,,,
2023,manufacture of power-driven hand tools,,,,
2024,manufacture of power-driven hand tools,,,,
2015,manufacture of non-domestic cooling and ventilation equipment,,,,
2016,manufacture of non-domestic cooling and ventilation equipment,,,,
2017,manufacture of non-domestic cooling and ventilation equipment,,,,
2018,manufacture of non-domestic cooling and ventilation equipment,,,,
2019,manufacture of non-domestic cooling and ventilation equipment,,,,
2020,manufacture of non-domestic cooling and ventilation equipment,,,,
2021,manufacture of non-domestic cooling and ventilation equipment,,,,11.8
2022,manufacture of non-domestic cooling and ventilation equipment,,,,13.4
2023,manufacture of non-domestic cooling and ventilation equipment,,,,10.7
2024,manufacture of non-domestic cooling and ventilation equipment,,,,15.9
2015,manufacture of other general-purpose machinery n.e.c.,,,,
2016,manufacture of other general-purpose machinery n.e.c.,,,,
2017,manufacture of other general-purpose machinery n.e.c.,,,,
2018,manufacture of other general-purpose machinery n.e.c.,,,,
2019,manufacture of other general-purpose machinery n.e.c.,,,,
2020,manufacture of other general-purpose machinery n.e.c.,,,,
2021,manufacture of other general-purpose machinery n.e.c.,,,,13.5
2022,manufacture of other general-purpose machinery n.e.c.,,,,12.7
2023,manufacture of other general-purpose machinery n.e.c.,,,,14.7
2024,manufacture of other general-purpose machinery n.e.c.,,,,16.9
2015,manufacture of agricultural and forestry machinery,,,,
2016,manufacture of agricultural and forestry machinery,,,,
2017,manufacture of agricultural and forestry machinery,,,,
2018,manufacture of agricultural and forestry machinery,,,,
2019,manufacture of agricultural and forestry machinery,,,,
2020,manufacture of agricultural and forestry machinery,,,,
2021,manufacture of agricultural and forestry machinery,,,,15.9
2022,manufacture of agricultural and forestry machinery,,,,14.6
2023,manufacture of agricultural and forestry machinery,,,,14.7
2024,manufacture of agricultural and forestry machinery,,,,15.5
2015,manufacture of metal forming machinery,,,,
2016,manufacture of metal forming machinery,,,,
2017,manufacture of metal forming machinery,,,,
2018,manufacture of metal forming machinery,,,,
2019,manufacture of metal forming machinery,,,,
2020,manufacture of metal forming machinery,,,,
2021,manufacture of metal forming machinery,,,,6.7
2022,manufacture of metal forming machinery,,,,9.2
2023,manufacture of metal forming machinery,,,,4.7
2024,manufacture of metal forming machinery,,,,4.1
2015,manufacture of other machine tools,,,,
2016,manufacture of other machine tools,,,,
2017,manufacture of other machine tools,,,,
2018,manufacture of other machine tools,,,,
2019,manufacture of other machine tools,,,,
2020,manufacture of other machine tools,,,,
2021,manufacture of other machine tools,,,,18.2
2022,manufacture of other machine tools,,,,20.0
2023,manufacture of other machine tools,,,,26.4
2024,manufacture of other machine tools,,,,18.3
2015,manufacture of machinery for metallurgy,,,,
2016,manufacture of machinery for metallurgy,,,,
2017,manufacture of machinery for metallurgy,,,,
2018,manufacture of machinery for metallurgy,,,,
2019,manufacture of machinery for metallurgy,,,,
2020,manufacture of machinery for metallurgy,,,,
2021,manufacture of machinery for metallurgy,,,,9.6
2022,manufacture of machinery for metallurgy,,,,10.8
2023,manufacture of machinery for metallurgy,,,,10.9
2024,manufacture of machinery for metallurgy,,,,20.0
2015,"manufacture of machinery for mining, quarrying and construction",,,,
2016,"manufacture of machinery for mining, quarrying and construction",,,,
2017,"manufacture of machinery for mining, quarrying and construction",,,,
2018,"manufacture of machinery for mining, quarrying and construction",,,,
2019,"manufacture of machinery for mining, quarrying and construction",,,,
2020,"manufacture of machinery for mining, quarrying and construction",,,,
2021,"manufacture of machinery for mining, quarrying and construction",,,,16.1
2022,"manufacture of machinery for mining, quarrying and construction",,,,15.7
2023,"manufacture of machinery for mining, quarrying and construction",,,,17.1
2024,"manufacture of machinery for mining, quarrying and construction",,,,19.6
2015,"manufacture of machinery for food, beverage and tobacco processing",,,,
2016,"manufacture of machinery for food, beverage and tobacco processing",,,,
2017,"manufacture of machinery for food, beverage and tobacco processing",,,,
2018,"manufacture of machinery for food, beverage and tobacco processing",,,,
2019,"manufacture of machinery for food, beverage and tobacco processing",,,,
2020,"manufacture of machinery for food, beverage and tobacco processing",,,,
2021,"manufacture of machinery for food, beverage and tobacco processing",,,,13.7
2022,"manufacture of machinery for food, beverage and tobacco processing",,,,14.5
2023,"manufacture of machinery for food, beverage and tobacco processing",,,,12.2
2024,"manufacture of machinery for food, beverage and tobacco processing",,,,15.0
2015,"manufacture of machinery for textile, apparel and leather production",,,,
2016,"manufacture of machinery for textile, apparel and leather production",,,,
2017,"manufacture of machinery for textile, apparel and leather production",,,,
2018,"manufacture of machinery for textile, apparel and leather production",,,,
2019,"manufacture of machinery for textile, apparel and leather production",,,,
2020,"manufacture of machinery for textile, apparel and leather production",,,,
2021,"manufacture of machinery for textile, apparel and leather production",,,,40.0
2022,"manufacture of machinery for textile, apparel and leather production",,,,36.4
2023,"manufacture of machinery for textile, apparel and leather production",,,,44.4
2024,"manufacture of machinery for textile, apparel and leather production",,,,40.0
2015,manufacture of machinery for paper and paperboard production,,,,
2016,manufacture of machinery for paper and paperboard production,,,,
2017,manufacture of machinery for paper and paperboard production,,,,
2018,manufacture of machinery for paper and paperboard production,,,,
2019,manufacture of machinery for paper and paperboard production,,,,
